SaleID name regDate model brand bodyType fuelType gearbox power kilometer notRepairedDamage regionCode seller offerType creatDate price v_0 v_1 v_2 v_3 v_4 v_5 v_6 v_7 v_8 v_9 v_10 v_11 v_12 v_13 v_14
4000 4365 20060308 7.0 7 0.0 0.0 0.0 105 12.5 0.0 5485 0 0 20160401 4300 44.57083944556747 3.2184769371297755 -0.5223640017455585 -0.2270718615785497 1.0909829036192975 0.2506608406641684 0.0902184955426156 0.0471237779767192 0.05418300329907815 0.0942023191129695 -3.112145259307935 0.8321494736131893 -0.5995584318654766 1.2798999117622074 -0.0062422719471569256
4001 102371 20040307 46.0 6 2.0 1.0 0.0 74 15.0 1.0 3522 0 0 20160328 850 42.96957157319147 -3.172728086864518 -1.1507757025849232 1.6254907713100557 0.5486620569122029 0.2495830777861152 0.0 0.08683813678549511 0.04319475995540038 0.08336165134117282 3.2927295417817386 -1.0159520484602158 -1.9948757871480296 0.2809365574006199 0.2823559127244703
4002 18981 20070706 160.0 27 1.0 0.0 0.0 87 5.0 1.0 360 0 0 20160317 5000 45.04676130474583 3.554809098408457 0.8640543839645086 -0.6573150558289561 1.272256390118114 0.23494300051665906 0.09622908140194993 0.13061985206889384 0.06325001597019138 0.09584013369068424 -3.3587461176589546 1.6052117096148701 0.6861951785324839 1.3141355974800195 0.18072702390596
4003 121303 19970602 4.0 4 5.0 0.0 0.0 102 15.0 1.0 92 0 0 20160321 699 44.452318224992304 -3.3853867135916893 -1.69663301463198 3.4640415134740583 -0.7432224830582858 0.2727589995784667 0.0 0.1044313088194795 0.018857440651339524 0.05355496209949266 3.0089777640935838 -1.8165678759539987 -2.779445803266989 -2.026504800030064 -0.7743771930024026
4004 108916 20110308 225.0 20 6.0 1.0 0.0 177 12.5 0.0 3303 0 0 20160308 13500 47.46148173813924 -3.1568012101462615 -0.6753024810040199 -3.399695633870361 2.6373085576537174 0.2557394276609832 0.0008827905296800211 0.007769947233588986 0.11622783369907146 0.14061593695344185 1.0397493296488582 -4.218505299655678 3.3742182559176688 2.3792948950994366 -3.4318532308306087
4005 11262 20040809 39.0 9 3.0 0.0 0.0 113 15.0 0.0 5206 0 0 20160402 2500 43.745652475171106 3.7352628066349087 -1.1861890646854714 1.0256848332618005 1.4481680599403646 0.2514825499857643 0.09717510332435818 0.020731698654433396 0.03518139615980179 0.10803577334178928 -3.2262489689975338 1.3395969099361849 -2.2603390388638904 1.45210584143918 0.14553437556169202
4006 64695 20030205 160.0 27 1.0 0.0 1.0 90 15.0 - 1386 0 0 20160325 2790 43.588454894924155 -3.1444677725619936 -0.026619938273044524 -0.06976061898155769 0.7305986294981498 0.238408837135328 0.00027980162990618216 0.12605746923014569 0.06849390954683263 0.08349641013301502 3.048458357232752 -0.9621956366207984 0.049641349532854234 0.7524108077426478 -0.20806392723286046
4007 13906 20101206 63.0 0 3.0 1.0 1.0 105 15.0 0.0 7246 0 0 20160319 10990 47.04896784939753 5.10147512165576 0.451337645909605 -1.9142899027454192 0.5432062016346948 0.25806036385287034 0.11853915053907378 0.07670731133973771 0.07460137551970812 0.07321705479567353 -5.765174532319073 0.5892488272676388 1.9336841346781952 0.7166682865922986 -0.11020643547251403
4008 2277 20030403 21.0 16 1.0 1.0 1.0 41 10.0 0.0 4229 0 0 20160313 3600 44.21718323088274 3.4157040541348893 0.4216073760585168 1.2336813922621774 0.14804423438645622 0.2429136204190443 0.09457152395282176 0.14810975796020226 0.03593110582644512 0.06675690818436013 -2.787199726125194 2.1109586472667017 -1.0823221952646276 -0.10247748324871137 0.3681279122099272
4009 1950 19971207 29.0 0 1.0 0.0 0.0 60 8.0 0.0 6425 0 0 20160330 1050 43.329267201394885 4.042213843222191 -0.010121123213698912 2.1910505632138357 -0.03175973312032361 0.2443498875021043 0.10290058744992077 0.133606019372925 0.01982266888726464 0.06410766979606371 -2.9767867995163817 2.7614600205944906 -2.4151520739382284 -0.2990816051781211 0.21413396304595708
